State,Year,Avg ASC-1 State Rate*,Median ASC-1 State Rate*,Avg ASC-2 State Rate*,Median ASC-2 State Rate*,Avg ASC-3 State Rate*,Median ASC-3 State Rate*,Avg ASC-4 State Rate*,Median ASC-4 State Rate*,Avg ASC-9 State Rate*,Median ASC-9 State Rate*,Avg ASC-11 State Rate*,Median ASC-11 State Rate*,ASC-12 Better,ASC-12 No Different,ASC-12 Worse,ASC-12 Too Small,Avg ASC-13 State Rate*,Median ASC-13 State Rate*,Avg ASC-14 State Rate*,Median ASC-14 State Rate*,ASC-17 Better,ASC-17 No Different,ASC-17 Worse,ASC-17 Too Small,ASC-18 Better,ASC-18 No Different,ASC-18 Worse,ASC-18 Too Small,ASC-19 Better,ASC-19 No Different,ASC-19 Worse,ASC-19 Too Small
ND,2024,0.004,0.000,0.014,0.000,0.004,0.000,0.081,0.037,93.67,95.00,N/A (5),N/A (5),0,4,0,1,96.62,99.86,0.043,0.019,0,5,0,2,0,0,0,2,0,2,0,8
NE,2024,0.002,0.000,0.019,0.000,0.009,0.000,0.076,0.061,95.23,98.07,100.00,100.00,0,17,0,3,95.15,100.00,0.112,0.061,0,19,0,8,0,6,0,5,0,13,1,18
NH,2024,0.002,0.000,0.032,0.023,0.005,0.000,0.128,0.102,74.81,97.50,N/A (5),N/A (5),0,11,0,0,98.22,99.50,0.349,0.248,0,17,0,5,0,1,0,4,0,5,0,17
NJ,2024,0.001,0.000,0.019,0.015,0.003,0.000,0.078,0.063,72.89,83.61,99.56,100.00,0,87,0,6,80.49,100.00,0.401,0.389,0,74,0,56,1,31,0,12,0,46,0,110
NM,2024,0.000,0.000,0.029,0.000,0.003,0.000,0.052,0.031,96.16,98.44,N/A (5),N/A (5),0,5,0,2,61.10,100.00,0.364,0.468,0,5,0,3,0,1,0,2,0,5,0,7
NV,2024,0.000,0.000,0.017,0.013,0.004,0.000,0.110,0.069,58.84,88.50,100.00,100.00,0,20,0,1,91.84,100.00,0.431,0.383,0,17,1,18,0,3,0,4,0,11,0,30
NY,2024,0.001,0.000,0.023,0.022,0.003,0.000,0.080,0.069,72.30,81.32,61.60,100.00,2,70,0,1,57.86,97.58,0.474,0.348,0,49,0,27,0,11,0,12,0,44,0,64
OH,2024,0.001,0.000,0.024,0.012,0.006,0.000,0.131,0.103,77.58,92.13,98.38,96.26,0,71,2,1,89.65,99.97,0.275,0.235,0,44,0,34,0,15,1,7,0,39,1,69
OK,2024,0.002,0.000,0.017,0.000,0.007,0.000,0.042,0.033,94.36,93.98,91.13,91.13,0,20,0,1,58.03,92.90,0.276,0.309,0,11,0,10,0,4,0,6,0,11,0,18
OR,2024,0.002,0.000,0.028,0.019,0.003,0.000,0.117,0.082,91.45,96.04,98.56,99.23,0,25,0,5,83.54,99.66,0.208,0.163,0,29,0,24,0,8,0,9,0,19,0,37
PA,2024,0.002,0.000,0.020,0.000,0.003,0.000,0.096,0.089,85.39,91.67,99.96,100.00,1,96,1,1,74.69,100.00,0.256,0.175,0,63,0,41,0,26,0,23,0,75,0,65
PR,2024,0.000,0.000,0.015,0.014,0.006,0.005,0.036,0.029,N/A (5),N/A (5),N/A (5),N/A (5),0,2,0,0,98.58,100.00,0.726,0.835,0,3,0,6,0,2,0,4,0,0,0,9
RI,2024,0.000,0.000,0.019,0.008,0.000,0.000,0.099,0.094,91.54,90.07,100.00,100.00,0,7,0,0,99.55,99.98,0.270,0.364,0,4,0,2,0,2,0,0,0,1,0,7
